DATE;HEURE;NO;NO2;PM10;PM25;CO2;TEMP;HUMI
18-sept-14;23:00;237;82;51;38;436;27;53
19-sept-14;8:00;143;56;315;447;544;28;53
19-sept-14;9:00;134;56;278;288;522;28;53
19-sept-14;13:00;83;63;232;102;618;29;49
19-sept-14;17:00;58;63;187;75;690;29;52
20-sept-14;2:00;311;97;93;106;472;28;47
20-sept-14;12:00;17;61;172;74;563;28;50
20-sept-14;16:00;27;62;193;77;605;28;50
20-sept-14;22:00;35;67;77;34;459;27;52
21-sept-14;2:00;<2;36;<5;<5;408;26;54
21-sept-14;5:00;<2;28;178;76;425;26;56
21-sept-14;10:00;4;42;303;120;445;26;53
21-sept-14;13:00;<2;47;128;46;440;27;48
21-sept-14;20:00;<2;38;117;52;414;26;40
22-sept-14;12:00;31;54;260;122;499;26;38
23-sept-14;0:00;519;174;112;83;424;24;39
23-sept-14;3:00;507;65;123;86;444;24;43
23-sept-14;8:00;116;43;415;206;569;25;42
23-sept-14;9:00;82;48;229;122;491;25;40
23-sept-14;11:00;56;62;200;103;515;25;33
23-sept-14;14:00;46;61;278;114;553;26;36
23-sept-14;15:00;52;65;189;82;660;26;35
23-sept-14;18:00;62;54;653;338;589;26;41
23-sept-14;19:00;54;77;245;140;457;25;34
24-sept-14;2:00;138;59;22;27;400;24;38
24-sept-14;7:00;178;61;278;128;719;25;42
24-sept-14;10:00;56;60;247;124;511;25;40
24-sept-14;12:00;34;66;309;152;512;25;41
24-sept-14;16:00;19;55;317;150;724;26;42
24-sept-14;17:00;47;60;470;240;684;26;44
25-sept-14;15:00;51;59;252;110;691;26;35
25-sept-14;18:00;86;79;68;33;560;26;34
26-sept-14;0:00;ND;ND;ND;ND;490;24;41
26-sept-14;1:00;108;59;126;<5;478;24;41
26-sept-14;9:00;98;62;276;113;564;25;41
26-sept-14;12:00;32;54;242;90;598;26;37
27-sept-14;10:00;48;60;172;69;575;26;44
27-sept-14;12:00;35;74;124;45;531;26;42
27-sept-14;16:00;68;58;294;131;659;27;45
27-sept-14;18:00;87;63;218;97;611;27;44
27-sept-14;23:00;13;51;130;57;430;26;45
28-sept-14;10:00;5;43;180;92;486;26;45
28-sept-14;20:00;8;60;172;78;454;26;45
29-sept-14;4:00;15;39;181;91;468;26;49
29-sept-14;11:00;78;51;226;113;573;27;53
29-sept-14;17:00;43;46;409;188;812;28;52
30-sept-14;5:00;54;31;357;175;566;26;57
30-sept-14;6:00;104;36;322;146;798;26;55
30-sept-14;11:00;86;52;367;168;576;27;50
30-sept-14;14:00;45;52;298;130;631;28;49
30-sept-14;15:00;40;52;367;161;764;28;49
30-sept-14;18:00;71;59;702;364;664;28;50
30-sept-14;19:00;62;71;325;150;516;27;47
01-oct-14;3:00;11;31;80;44;421;25;52
01-oct-14;5:00;78;33;376;176;565;26;53
01-oct-14;17:00;64;50;477;204;821;29;44
01-oct-14;22:00;28;49;140;60;424;27;45
01-oct-14;23:00;372;101;89;61;417;26;47
02-oct-14;2:00;3362;744;184;230;660;26;49
02-oct-14;4:00;68;38;247;123;445;26;52
02-oct-14;7:00;98;39;344;149;784;27;51
02-oct-14;16:00;69;47;458;217;867;29;47
03-oct-14;1:00;28;43;8;8;385;26;49
03-oct-14;3:00;25;33;64;35;398;25;51
22-janv-13;11:00;109;39;530;194;583;17;47
22-janv-13;12:00;112;48;315;101;592;17;46
22-janv-13;19:00;127;43;475;178;765;18;48
23-janv-13;3:00;510;89;28;26;450;17;48
23-janv-13;12:00;234;42;773;268;641;18;49
23-janv-13;13:00;147;43;695;255;621;18;49
23-janv-13;16:00;82;47;607;205;771;19;48
24-janv-13;3:00;43;44;7;13;411;18;46
24-janv-13;4:00;172;55;73;37;450;17;45
24-janv-13;13:00;168;43;533;196;633;18;46
24-janv-13;17:00;159;50;544;188;932;19;44
24-janv-13;18:00;138;42;628;212;922;19;45
25-janv-13;0:00;36;42;266;108;414;17;42
25-janv-13;2:00;22;46;15;21;403;17;39
25-janv-13;3:00;18;41;15;18;397;17;39
25-janv-13;9:00;ND;ND;542;191;ND;17;43
26-janv-13;3:00;192;45;9;10;467;16;42
26-janv-13;10:00;69;34;440;151;586;17;44
26-janv-13;11:00;83;30;460;158;617;17;45
26-janv-13;19:00;198;53;438;146;745;18;48
27-janv-13;3:00;43;23;7;<5;436;16;48
27-janv-13;15:00;30;35;441;153;535;18;51
28-janv-13;0:00;385;74;355;118;464;17;49
28-janv-13;4:00;5;27;38;13;441;17;47
28-janv-13;6:00;45;31;526;187;592;18;50
28-janv-13;20:00;15;36;358;121;537;19;49
29-janv-13;4:00;43;21;107;29;419;18;53
29-janv-13;5:00;20;22;469;154;462;18;54
29-janv-13;8:00;49;26;559;195;882;20;55
29-janv-13;9:00;56;23;816;305;626;19;55
29-janv-13;18:00;57;28;773;307;828;20;55
29-janv-13;22:00;18;37;123;174;470;20;54
30-janv-13;1:00;48;35;29;131;397;19;54
30-janv-13;4:00;12;20;42;112;400;19;55
30-janv-13;6:00;21;25;263;421;544;19;56
30-janv-13;9:00;46;31;207;93;554;20;56
30-janv-13;17:00;59;43;666;279;852;21;51
30-janv-13;19:00;37;50;312;102;617;20;48
31-janv-13;1:00;<2;33;32;7;396;19;45
31-janv-13;6:00;36;35;350;131;564;19;49
31-janv-13;7:00;56;37;541;177;757;20;49
31-janv-13;8:00;51;38;533;167;807;20;50
31-janv-13;9:00;ND;ND;451;142;ND;20;49
31-janv-13;13:00;43;32;636;247;628;20;52
31-janv-13;16:00;58;52;286;92;775;20;50
31-janv-13;17:00;77;43;755;312;926;21;52
31-janv-13;21:00;26;58;111;48;521;20;47
01-févr-13;8:00;65;37;700;249;867;20;53
01-févr-13;20:00;54;56;200;65;550;20;47
01-févr-13;23:00;34;42;307;89;514;20;47
02-févr-13;2:00;30;37;<5;6;434;20;47
02-févr-13;9:00;68;52;300;96;535;19;46
02-févr-13;18:00;71;54;406;132;677;20;46
02-févr-13;22:00;36;53;201;69;515;19;43
03-févr-13;0:00;56;46;202;81;445;19;44
03-févr-13;2:00;44;53;6;10;437;18;42
03-févr-13;5:00;21;42;166;57;456;18;43
03-févr-13;13:00;18;39;371;129;501;19;44
03-févr-13;22:00;15;32;240;79;453;19;49
04-févr-13;2:00;5;20;8;<5;411;19;50
04-févr-13;3:00;5;21;<5;<5;410;19;50
04-févr-13;4:00;5;24;24;10;429;19;50
04-févr-13;9:00;98;39;501;165;675;20;52
04-févr-13;11:00;81;32;562;210;582;20;53
04-févr-13;13:00;65;38;602;205;587;20;52
05-févr-13;1:00;62;32;58;25;405;20;47
05-févr-13;12:00;36;45;402;134;591;20;47
05-févr-13;16:00;50;45;587;210;817;20;46
05-févr-13;17:00;57;48;603;212;962;20;46
06-févr-13;1:00;10;24;31;12;392;19;46
06-févr-13;13:00;71;39;593;256;617;20;47
06-févr-13;14:00;70;59;278;102;567;19;43
06-févr-13;16:00;94;61;293;94;718;19;43
06-févr-13;17:00;94;57;369;128;801;20;45
06-févr-13;18:00;90;53;336;114;762;20;46
06-févr-13;20:00;46;47;279;89;497;19;45
06-févr-13;22:00;8;49;105;23;442;19;43
07-févr-13;3:00;<2;30;9;6;383;17;42
07-févr-13;7:00;139;54;376;225;743;19;46
07-févr-13;18:00;106;55;618;242;764;19;44
07-févr-13;20:00;62;58;219;82;475;19;42
08-févr-13;0:00;659;65;425;159;406;19;46
08-févr-13;4:00;29;46;119;98;ND;18;44
08-févr-13;6:00;115;46;383;216;ND;18;45
08-févr-13;14:00;90;55;431;159;ND;19;44
08-févr-13;19:00;97;59;386;149;ND;19;45
08-févr-13;23:00;32;54;160;52;ND;18;43
09-févr-13;0:00;144;62;199;66;ND;18;43
09-févr-13;6:00;67;43;224;87;ND;18;45
09-févr-13;8:00;107;48;308;111;ND;18;45
10-févr-13;9:00;21;31;371;138;ND;18;44
10-févr-13;11:00;32;35;377;139;ND;18;44
10-févr-13;14:00;28;39;367;132;ND;18;45
10-févr-13;19:00;24;35;489;182;ND;18;47
11-févr-13;3:00;3;29;<5;<5;ND;18;47
11-févr-13;4:00;5;30;84;33;ND;18;47
11-févr-13;5:00;17;34;317;121;ND;18;49
11-févr-13;10:00;99;50;345;144;ND;19;49
12-févr-13;0:00;143;48;129;51;474;18;44
12-févr-13;1:00;20;37;29;18;457;17;43
01-janv-13;19:00;ND;ND;277;107;439;20;46
01-janv-13;15:00;ND;ND;380;140;443;21;46
01-janv-13;7:00;ND;ND;328;131;406;21;51
01-janv-13;9:00;ND;ND;282;105;402;20;50
01-janv-13;1:00;ND;ND;141;55;434;20;50
11-févr-14;23:00;19;54;52;19;438;17,2;39,7
12-févr-14;7:00;112;60;89;32;624;16,8;38,9
12-févr-14;22:00;10;48;38;17;516;17,8;45,5
