DATE;HEURE;NO;NO2;PM10;PM25;CO2;TEMP;HUMI
03-mars-13;3:00;47;44;23;20;ND;17;41
03-mars-13;7:00;58;50;304;118;ND;16;42
29-mai-13;23:00;63;65;108;35;432;22;47
30-mai-13;3:00;21;48;263;ND;435;22;49
30-mai-13;5:00;95;70;184;ND;544;22;51
30-mai-13;7:00;154;68;288;ND;773;23;52
30-mai-13;14:00;96;72;264;ND;640;23;52
30-mai-13;15:00;114;67;555;ND;806;24;54
30-mai-13;23:00;596;123;143;ND;454;22;52
31-mai-13;4:00;27;65;190;40;467;22;51
31-mai-13;7:00;140;84;384;50;752;23;51
31-mai-13;12:00;114;90;243;42;585;23;52
31-mai-13;18:00;76;103;272;42;617;24;52
01-juin-13;0:00;9;82;36;30;411;23;51
01-juin-13;3:00;8;67;32;31;423;22;51
01-juin-13;6:00;64;80;182;38;476;22;51
01-juin-13;8:00;58;95;135;30;501;23;49
01-juin-13;23:00;10;64;142;35;441;23;50
02-juin-13;5:00;5;45;77;32;426;22;47
02-juin-13;7:00;28;65;116;32;444;23;46
02-juin-13;8:00;35;71;117;28;454;23;45
02-juin-13;13:00;28;77;135;32;483;24;44
02-juin-13;18:00;44;94;117;35;465;23;46
02-juin-13;21:00;5;64;80;36;442;23;46
03-juin-13;4:00;14;45;258;64;463;22;47
03-juin-13;10:00;94;74;297;72;534;23;47
03-juin-13;11:00;91;85;158;60;523;23;46
04-juin-13;2:00;6;36;11;40;416;23;47
04-juin-13;7:00;110;63;366;99;731;23;48
04-juin-13;12:00;ND;ND;218;46;549;24;46
04-juin-13;17:00;ND;ND;650;136;968;26;48
04-juin-13;19:00;ND;ND;286;62;520;24;47
05-juin-13;3:00;ND;ND;29;28;432;23;49
05-juin-13;4:00;ND;ND;95;40;475;23;49
05-juin-13;13:00;ND;ND;212;71;582;25;49
06-juin-13;0:00;ND;ND;63;42;425;25;51
06-juin-13;1:00;ND;ND;68;42;423;24;52
06-juin-13;9:00;ND;ND;197;80;584;26;52
06-juin-13;10:00;ND;ND;199;76;571;25;52
06-juin-13;16:00;ND;ND;255;81;865;27;52
06-juin-13;17:00;ND;ND;402;124;848;28;52
06-juin-13;18:00;ND;ND;349;104;643;27;51
07-juin-13;1:00;ND;ND;21;29;441;24;52
07-juin-13;5:00;ND;ND;172;65;576;25;52
07-juin-13;22:00;ND;ND;208;74;486;27;49
08-juin-13;10:00;ND;ND;151;57;537;26;52
08-juin-13;19:00;ND;ND;101;42;482;26;52
09-juin-13;5:00;ND;ND;95;41;439;25;51
10-juin-13;0:00;ND;ND;27;30;409;24;50
10-juin-13;3:00;ND;ND;23;19;420;24;49
10-juin-13;14:00;ND;ND;193;70;586;26;50
10-juin-13;18:00;ND;ND;330;118;598;26;50
10-juin-13;20:00;ND;ND;271;102;469;25;50
11-juin-13;0:00;ND;ND;37;29;407;25;51
11-juin-13;12:00;ND;ND;212;75;558;26;51
11-juin-13;14:00;ND;ND;263;87;598;26;52
12-juin-13;3:00;ND;ND;24;17;425;25;54
12-juin-13;7:00;ND;ND;196;57;640;26;55
12-juin-13;8:00;ND;ND;251;88;565;26;54
12-juin-13;16:00;ND;ND;203;81;711;27;56
12-juin-13;18:00;ND;ND;309;112;588;27;56
12-juin-13;23:00;ND;ND;79;39;420;26;57
13-juin-13;4:00;ND;ND;150;53;468;25;56
13-juin-13;16:00;ND;ND;244;83;807;26;52
13-juin-13;23:00;ND;ND;99;51;439;25;49
14-juin-13;3:00;ND;ND;14;17;420;24;47
14-juin-13;8:00;ND;ND;215;82;563;25;47
14-juin-13;9:00;ND;ND;167;68;ND;25;46
14-juin-13;15:00;68;79;285;105;672;26;48
14-juin-13;18:00;73;85;199;79;547;26;47
14-juin-13;19:00;51;83;99;46;493;26;47
14-juin-13;21:00;54;74;234;78;472;26;49
14-juin-13;23:00;45;63;93;42;421;25;50
15-juin-13;1:00;25;60;6;16;396;25;49
15-juin-13;11:00;59;72;109;43;510;25;49
15-juin-13;22:00;22;67;79;38;472;25;47
16-juin-13;0:00;43;64;28;25;412;25;47
16-juin-13;5:00;9;44;106;42;428;24;47
16-juin-13;6:00;15;50;127;45;433;24;48
16-juin-13;10:00;18;67;129;45;464;25;47
17-juin-13;3:00;8;38;23;12;403;25;51
17-juin-13;11:00;159;71;195;70;579;26;56
17-juin-13;19:00;107;83;271;100;503;27;57
17-juin-13;22:00;31;74;122;48;439;26;54
18-juin-13;22:00;ND;ND;119;46;432;27;59
19-juin-13;11:00;ND;ND;237;93;586;28;58
19-juin-13;14:00;ND;ND;274;89;597;28;57
19-juin-13;15:00;ND;ND;306;110;717;29;57
19-juin-13;16:00;ND;ND;253;92;813;28;59
19-juin-13;22:00;ND;ND;182;60;454;27;57
20-juin-13;6:00;ND;ND;385;124;699;27;59
20-juin-13;9:00;ND;ND;239;83;550;27;57
20-juin-13;10:00;ND;ND;112;45;559;27;57
20-juin-13;13:00;ND;ND;167;104;572;28;56
20-juin-13;16:00;ND;ND;282;106;716;28;54
20-juin-13;22:00;ND;ND;126;45;438;27;54
20-juin-13;23:00;ND;ND;136;48;401;27;54
21-juin-13;0:00;ND;ND;31;17;389;27;54
21-juin-13;2:00;ND;ND;<5;<5;392;27;54
21-juin-13;5:00;ND;ND;191;61;508;26;53
21-juin-13;8:00;ND;ND;210;78;528;26;52
21-juin-13;13:00;ND;ND;240;81;568;27;51
01-sept-14;1:00;3;20;39;10;321;24;44
01-sept-14;7:00;135;42;303;115;643;25;49
01-sept-14;10:00;42;54;153;60;436;26;45
01-sept-14;14:00;36;63;176;61;508;27;38
02-sept-14;4:00;36;41;125;42;362;25;49
02-sept-14;6:00;84;42;298;120;554;26;50
02-sept-14;8:00;68;43;370;166;465;26;48
02-sept-14;19:00;50;55;228;87;392;27;46
02-sept-14;22:00;23;44;229;77;350;26;50
03-sept-14;6:00;110;39;290;112;602;26;48
03-sept-14;7:00;130;44;405;176;593;26;48
03-sept-14;9:00;89;47;238;93;433;26;46
03-sept-14;13:00;45;53;282;101;463;27;44
03-sept-14;15:00;37;50;558;196;610;28;44
03-sept-14;16:00;45;53;472;187;683;28;43
03-sept-14;17:00;60;50;368;147;625;29;43
03-sept-14;20:00;23;58;193;71;381;27;44
03-sept-14;22:00;11;50;104;37;348;27;44
04-sept-14;2:00;88;62;204;17;316;25;43
04-sept-14;12:00;82;45;172;74;462;27;47
04-sept-14;15:00;89;51;315;139;615;28;49
04-sept-14;16:00;65;43;300;121;705;28;49
04-sept-14;18:00;61;49;523;223;497;28;49
05-sept-14;2:00;123;69;27;20;317;25;51
05-sept-14;4:00;31;36;138;60;363;26;52
05-sept-14;7:00;105;40;288;118;601;27;51
05-sept-14;11:00;69;55;189;78;454;27;47
05-sept-14;17:00;51;60;266;114;711;28;46
05-sept-14;18:00;52;58;365;156;582;28;48
06-sept-14;9:00;39;49;164;71;518;26;54
06-sept-14;10:00;31;51;198;79;528;26;53
06-sept-14;17:00;46;83;171;62;569;27;44
07-sept-14;2:00;13;56;33;25;424;25;51
07-sept-14;5:00;23;45;72;38;456;26;51
07-sept-14;9:00;8;60;95;42;453;26;49
08-sept-14;1:00;<2;42;51;25;406;26;51
08-sept-14;5:00;52;42;218;95;550;26;52
08-sept-14;11:00;33;67;197;81;533;27;45
08-sept-14;15:00;20;74;263;101;689;29;42
08-sept-14;20:00;<2;58;100;46;435;27;46
09-sept-14;0:00;<2;29;74;31;391;26;46
09-sept-14;1:00;<2;23;61;28;389;26;46
09-sept-14;6:00;75;42;300;110;693;26;45
09-sept-14;9:00;58;56;203;89;500;27;43
09-sept-14;11:00;31;65;129;45;516;27;36
09-sept-14;15:00;32;67;234;85;673;28;34
09-sept-14;18:00;28;68;307;128;541;28;34
09-sept-14;19:00;17;72;117;44;459;27;33
09-sept-14;21:00;6;52;84;30;425;26;37
09-sept-14;23:00;<2;38;43;18;391;26;37
10-sept-14;2:00;<2;23;20;10;389;25;42
10-sept-14;11:00;45;54;177;72;519;26;40
10-sept-14;12:00;40;52;172;72;518;27;40
10-sept-14;13:00;37;64;183;73;535;27;38
10-sept-14;17:00;33;47;482;211;670;28;39
10-sept-14;22:00;11;47;56;24;408;26;35
11-sept-14;1:00;<2;27;42;18;381;25;35
11-sept-14;22:00;7;46;152;57;413;26;43
12-sept-14;6:00;93;36;443;187;652;25;48
12-sept-14;8:00;107;43;284;129;540;25;45
12-sept-14;11:00;50;58;195;167;566;26;38
12-sept-14;13:00;46;68;133;68;577;27;35
12-sept-14;18:00;41;75;264;117;568;27;35
13-sept-14;0:00;3;47;17;16;415;25;44
13-sept-14;2:00;<2;30;7;13;411;25;47
14-sept-14;0:00;8;54;17;21;414;25;44
14-sept-14;9:00;16;45;119;54;455;25;45
14-sept-14;11:00;7;51;113;49;462;26;44
14-sept-14;12:00;7;51;192;76;466;26;44
14-sept-14;13:00;4;53;123;50;466;26;42
14-sept-14;23:00;7;43;62;35;418;25;49
15-sept-14;8:00;136;45;300;136;611;26;50
15-sept-14;14:00;52;72;287;115;624;27;44
15-sept-14;22:00;16;65;102;53;429;26;48
16-sept-14;0:00;51;68;105;57;436;26;49
16-sept-14;8:00;157;61;442;192;616;26;51
16-sept-14;12:00;35;73;135;61;537;27;46
16-sept-14;15:00;42;85;221;82;739;28;42
16-sept-14;16:00;45;59;621;300;837;29;47
16-sept-14;22:00;9;71;81;35;428;27;47
17-sept-14;0:00;7;49;24;20;408;27;48
17-sept-14;1:00;7;44;10;13;409;27;48
17-sept-14;4:00;34;45;327;111;472;26;50
17-sept-14;8:00;109;62;369;152;553;27;50
17-sept-14;9:00;102;63;282;131;519;27;51
17-sept-14;11:00;55;68;263;125;540;27;49
17-sept-14;12:00;62;76;150;68;543;28;48
17-sept-14;13:00;46;75;90;40;577;28;50
17-sept-14;21:00;44;69;160;70;449;27;51
17-sept-14;22:00;21;58;108;51;421;27;51
18-sept-14;4:00;20;43;138;61;444;27;55
18-sept-14;10:00;99;64;341;169;541;28;51
18-sept-14;13:00;40;75;159;63;547;28;48
18-sept-14;17:00;116;56;686;321;781;29;55
18-sept-14;19:00;118;74;168;76;522;28;51
18-sept-14;20:00;66;59;152;68;455;28;55
19-sept-14;3:00;361;104;131;127;460;27;55
19-sept-14;5:00;81;53;218;82;504;27;53
19-sept-14;15:00;74;74;216;92;787;29;48
19-sept-14;22:00;16;50;105;46;473;28;50
20-déc-14;16:00;69;57;160;75;739;20;41
20-déc-14;18:00;105;62;151;77;726;20;44
20-déc-14;19:00;80;59;145;67;649;20;45
21-déc-14;6:00;5;33;110;49;436;19;41
21-déc-14;17:00;64;60;139;60;649;20;40
21-déc-14;20:00;23;48;91;41;482;20;41
22-déc-14;4:00;<2;16;41;20;405;19;43
22-déc-14;10:00;44;39;276;131;587;20;49
22-déc-14;14:00;48;43;225;110;666;20;50
22-déc-14;17:00;61;27;584;301;850;21;56
22-déc-14;19:00;54;38;210;89;657;21;51
23-déc-14;1:00;12;25;45;31;394;20;49
23-déc-14;3:00;<2;16;<5;<5;386;19;49
23-déc-14;5:00;9;24;128;56;434;20;50
23-déc-14;11:00;60;36;191;82;590;20;51
23-déc-14;15:00;68;32;242;155;706;20;50
23-déc-14;20:00;28;31;174;84;536;20;44
24-déc-14;2:00;11;11;23;13;405;20;45
24-déc-14;5:00;7;17;120;62;454;19;47
24-déc-14;13:00;30;32;217;94;589;20;50
24-déc-14;18:00;49;27;522;293;567;20;57
24-déc-14;20:00;19;39;306;140;443;20;46
25-déc-14;4:00;<2;17;54;32;403;19;43
25-déc-14;5:00;<2;17;117;58;413;19;42
25-déc-14;7:00;4;29;114;54;424;19;39
25-déc-14;10:00;8;33;110;51;449;19;40
25-déc-14;15:00;20;38;139;65;467;19;40
25-déc-14;17:00;54;39;216;102;509;20;43
25-déc-14;19:00;70;52;139;69;486;19;39
25-déc-14;22:00;33;47;83;41;448;19;37
25-déc-14;23:00;19;42;62;33;429;19;37
26-déc-14;3:00;4;33;9;8;409;18;35
26-déc-14;4:00;10;30;46;29;419;18;39
26-déc-14;8:00;95;40;263;113;561;19;40
26-déc-14;13:00;94;47;157;69;610;19;38
26-déc-14;19:00;82;41;152;71;584;19;42
26-déc-14;23:00;4;25;71;23;417;18;42
27-déc-14;9:00;9;31;169;79;462;18;41
27-déc-14;17:00;86;50;129;61;664;19;38
27-déc-14;20:00;31;46;117;53;489;18;37
27-déc-14;21:00;15;37;110;60;455;18;39
27-déc-14;22:00;16;41;69;39;448;18;36
27-déc-14;23:00;11;36;89;49;429;18;36
28-déc-14;8:00;5;21;115;63;429;17;29
28-déc-14;11:00;11;27;102;55;465;17;26
28-déc-14;12:00;9;28;150;73;462;17;26
28-déc-14;17:00;45;37;160;84;536;17;28
29-déc-14;5:00;ND;ND;124;63;460;16;28
29-déc-14;9:00;ND;ND;190;92;562;16;32
29-déc-14;15:00;ND;ND;117;56;671;17;38
29-déc-14;21:00;ND;ND;95;44;449;17;40
30-déc-14;1:00;ND;ND;37;26;400;16;41
30-déc-14;3:00;ND;ND;11;9;399;16;41
30-déc-14;7:00;ND;ND;333;151;556;17;44
31-déc-14;5:00;25;53;146;66;475;17;37
31-déc-14;7:00;106;60;205;88;593;17;39
01/01/2015;0:00;219;95;207;125;705;17,6;37,4
01/01/2015;4:00;286;73;142;94;620;17,2;36,9
01/01/2015;11:00;48;54;146;72;507;17,3;33
02/01/2015;7:00;35;36;314;146;520;17,5;47,9
02/01/2015;9:00;49;42;177;89;519;17,5;48,9
02/01/2015;12:00;81;46;119;52;561;17,8;52,1
02/01/2015;22:00;102;73;116;48;509;17,8;38,2
03/01/2015;0:00;197;71;182;91;490;17,8;39,4
03/01/2015;1:00;152;68;40;33;473;17,2;36,8
03/01/2015;5:00;14;37;91;37;419;16,9;41,2
03/01/2015;6:00;14;38;89;38;423;17;41,9
03/01/2015;8:00;55;42;128;46;454;17;46,4
03/01/2015;14:00;30;35;143;88;556;18,2;62,2
03/01/2015;15:00;30;33;133;68;574;18,4;63,2
04/01/2015;2:00;3;34;<5;<5;380;17,2;42,7
04/01/2015;3:00;<2;29;<5;<5;378;17;41,6
04/01/2015;8:00;9;43;177;101;408;17,5;40,9
04/01/2015;17:00;47;64;108;51;490;17,7;37,2
04/01/2015;23:00;28;51;130;61;416;17,5;35,9
05/01/2015;0:00;24;55;78;39;401;17,1;36
05/01/2015;7:00;113;40;360;180;691;17,2;45,2
05/01/2015;15:00;86;48;259;114;586;17,5;43,3
06/01/2015;3:00;107;54;56;46;405;15,9;34,6
06/01/2015;7:00;74;33;349;145;720;16,8;40,4
06/01/2015;21:00;95;44;83;43;459;17,3;45,8
07/01/2015;4:00;32;37;75;36;415;16,3;45,2
07/01/2015;9:00;231;54;179;77;598;17;41,5
07/01/2015;10:00;200;45;245;115;582;17,3;42,9
07/01/2015;11:00;160;39;323;163;560;17,1;46,7
07/01/2015;17:00;106;23;540;296;831;18,3;52,7
07/01/2015;20:00;47;31;252;121;491;17,8;46,4
08/01/2015;1:00;68;38;91;31;376;16,7;47,7
08/01/2015;3:00;11;26;79;22;362;16,6;49,6
08/01/2015;5:00;11;28;145;64;409;17,2;53,7
08/01/2015;6:00;39;34;187;85;495;17,4;55,8
08/01/2015;7:00;52;34;234;107;670;17,9;57,7
08/01/2015;11:00;22;43;136;56;466;17,7;57,4
08/01/2015;14:00;39;51;112;61;495;17,9;58,5
08/01/2015;18:00;62;51;235;116;672;18,7;54,1
09/01/2015;3:00;5;26;6;<5;348;16,8;47,7
09/01/2015;4:00;6;25;27;12;354;16,8;49,8
09/01/2015;6:00;13;41;160;64;452;17,4;56,6
09/01/2015;15:00;39;38;144;61;639;19;60,4
09/01/2015;19:00;19;31;249;120;610;19,3;61,2
28-févr-13;10:00;ND;ND;125;40;545;16;43
28-févr-13;20:00;ND;ND;193;68;581;17;43
01-mars-13;0:00;ND;ND;239;106;454;17;44
01-mars-13;1:00;ND;ND;47;50;443;16;43
01-mars-13;2:00;ND;ND;35;26;438;16;47
01-mars-13;3:00;ND;ND;14;13;439;16;46
01-mars-13;7:00;ND;ND;566;186;755;17;46
01-mars-13;9:00;ND;ND;412;147;636;17;45
01-mars-13;14:00;130;54;294;108;646;17;44
01-mars-13;18:00;133;62;551;188;788;18;45
01-mars-13;23:00;35;52;235;81;496;17;44
02-mars-13;5:00;17;48;154;57;461;16;41
02-mars-13;10:00;68;55;245;87;537;17;42
02-mars-13;11:00;82;58;252;93;566;17;42
02-mars-13;13:00;81;52;328;125;600;17;43
03-mars-13;0:00;114;46;228;101;ND;17;43
03-mars-13;6:00;28;44;300;115;ND;16;42
03-mars-13;8:00;65;45;372;138;ND;16;43
03-mars-13;10:00;66;50;259;103;ND;17;42
03-mars-13;11:00;61;54;304;116;ND;17;42
03-mars-13;12:00;51;59;369;139;ND;17;43
03-mars-13;18:00;82;69;409;143;ND;17;44
04-mars-13;17:00;121;69;547;195;924;20;48
05-mars-13;7:00;149;55;623;230;789;19;47
05-mars-13;12:00;90;52;506;189;619;19;45
05-mars-13;19:00;99;66;508;177;705;20;46
05-mars-13;22:00;42;48;315;96;539;20;47
06-mars-13;0:00;118;53;171;70;461;19;47
06-mars-13;12:00;100;78;172;56;591;20;45
06-mars-13;20:00;62;71;130;54;548;20;49
06-mars-13;22:00;59;67;116;35;554;20;50
07-mars-13;1:00;68;57;65;38;450;20;50
07-mars-13;8:00;112;45;686;303;765;20;53
07-mars-13;15:00;73;45;188;68;641;20;52
08-mars-13;1:00;38;40;ND;ND;464;20;52
08-mars-13;2:00;23;36;40;24;458;20;52
08-mars-13;8:00;142;46;303;103;744;20;54
08-mars-13;9:00;140;46;226;83;616;20;53
08-mars-13;15:00;55;51;223;80;677;21;52
08-mars-13;16:00;53;63;240;83;683;21;51
09-mars-13;6:00;22;34;238;92;477;20;52
09-mars-13;7:00;33;35;362;144;498;20;52
09-mars-13;13:00;28;46;399;147;575;21;49
09-mars-13;16:00;52;59;300;105;637;21;47
09-mars-13;20:00;78;61;415;140;542;21;48
09-mars-13;21:00;77;66;272;98;540;21;48
10-mars-13;1:00;21;52;37;20;438;20;48
10-mars-13;2:00;22;53;16;9;434;20;48
10-mars-13;7:00;27;36;287;107;461;20;48
10-mars-13;8:00;27;36;281;107;473;20;48
10-mars-13;11:00;43;34;401;161;497;20;48
10-mars-13;16:00;54;39;232;82;530;20;45
10-mars-13;22:00;24;32;364;126;476;20;44
11-mars-13;9:00;97;34;644;246;603;19;47
11-mars-13;13:00;112;42;309;121;593;19;45
11-mars-13;14:00;111;40;512;186;605;19;45
11-mars-13;22:00;33;31;321;114;495;18;45
12-mars-13;0:00;13;25;217;88;443;18;45
12-mars-13;2:00;20;21;6;9;436;18;44
12-mars-13;8:00;60;50;276;89;776;18;44
12-mars-13;11:00;32;48;283;105;533;17;43
12-mars-13;16:00;61;58;318;110;663;17;43
12-mars-13;21:00;5;31;215;82;486;17;42
13-mars-13;0:00;3;29;68;26;431;16;39
13-mars-13;2:00;<2;25;<5;6;424;16;37
13-mars-13;8:00;53;56;157;49;726;15;39
13-mars-13;9:00;61;49;289;95;617;15;41
13-mars-13;23:00;27;57;115;41;467;16;42
14-mars-13;10:00;121;69;179;63;539;16;42
14-mars-13;11:00;83;72;116;33;536;16;41
14-mars-13;15:00;62;65;253;79;594;17;40
14-mars-13;17:00;104;82;184;50;685;16;40
14-mars-13;20:00;74;68;258;79;551;17;42
15-mars-13;1:00;ND;ND;ND;ND;444;16;40
15-mars-13;4:00;ND;ND;14243;22;470;15;40
15-mars-13;6:00;ND;ND;ND;62;585;16;41
15-mars-13;17:00;ND;ND;297;70;768;18;41
16-mars-13;2:00;ND;ND;29;10;433;17;42
16-mars-13;4:00;ND;ND;26;<5;435;16;40
16-mars-13;10:00;ND;ND;174;42;528;17;40
16-mars-13;18:00;ND;ND;147;52;610;17;45
16-mars-13;22:00;ND;ND;101;35;511;17;46
17-mars-13;4:00;ND;ND;26;7;434;17;47
17-mars-13;8:00;ND;ND;416;156;472;18;49
17-mars-13;16:00;ND;ND;426;169;540;18;49
17-mars-13;18:00;ND;ND;452;165;537;18;48
18-mars-13;1:00;ND;ND;67;23;444;16;46
18-mars-13;6:00;ND;ND;334;126;611;17;46
18-mars-13;12:00;ND;ND;386;158;586;18;48
18-mars-13;23:00;ND;ND;285;101;468;18;47
19-mars-13;1:00;ND;ND;62;34;452;17;47
19-mars-13;3:00;ND;ND;8;7;430;17;47
19-mars-13;4:00;ND;ND;26;11;440;17;46
19-mars-13;7:00;ND;ND;524;182;765;18;47
19-mars-13;9:00;ND;ND;584;211;625;18;48
19-mars-13;16:00;ND;ND;758;297;816;19;49
19-mars-13;18:00;ND;ND;494;171;861;20;48
19-mars-13;19:00;ND;ND;837;322;690;19;49
20-mars-13;0:00;ND;ND;175;66;440;18;49
20-mars-13;21:00;ND;ND;347;139;534;19;46
03-mars-13;9:00;74;47;367;132;ND;16;43
03-mars-13;13:00;49;58;312;116;ND;17;43
03-mars-13;15:00;48;62;309;120;ND;17;44
03-mars-13;19:00;60;59;378;143;ND;17;45
03-mars-13;20:00;57;63;234;94;ND;17;44
03-mars-13;22:00;41;55;228;82;ND;17;43
03-mars-13;23:00;43;55;193;71;ND;17;43
04-mars-13;1:00;34;39;54;31;ND;17;44
04-mars-13;6:00;111;57;225;81;ND;16;43
04-mars-13;8:00;188;59;549;205;ND;17;45
04-mars-13;20:00;137;89;305;117;587;19;47
05-mars-13;1:00;11;46;102;39;450;18;47
05-mars-13;2:00;10;39;28;19;445;18;46
05-mars-13;4:00;7;38;85;35;451;17;45
05-mars-13;14:00;66;59;246;84;624;20;44
05-mars-13;16:00;71;56;701;233;790;21;46
05-mars-13;17:00;92;63;616;207;922;21;46
06-mars-13;1:00;38;42;82;31;447;19;46
06-mars-13;3:00;7;31;10;12;438;19;46
06-mars-13;14:00;110;77;163;58;616;20;46
06-mars-13;15:00;121;77;210;76;649;20;47
06-mars-13;18:00;106;76;226;78;761;21;47
06-mars-13;19:00;80;70;237;88;670;21;49
07-mars-13;14:00;57;48;128;44;597;20;52
07-mars-13;17:00;77;51;187;62;740;21;52
08-mars-13;0:00;235;70;156;60;502;20;52
08-mars-13;11:00;69;43;164;62;579;20;53
08-mars-13;12:00;71;44;247;76;596;20;54
08-mars-13;14:00;61;57;135;57;617;20;53
09-mars-13;10:00;37;44;295;106;542;21;51
09-mars-13;14:00;39;50;395;140;575;21;49
09-mars-13;17:00;77;61;343;122;660;21;47
09-mars-13;22:00;53;56;422;134;542;21;48
10-mars-13;0:00;32;51;243;94;458;20;49
10-mars-13;3:00;34;53;20;14;446;20;48
10-mars-13;4:00;24;49;37;21;452;20;48
10-mars-13;10:00;40;36;363;141;492;20;48
10-mars-13;13:00;41;33;365;138;511;20;47
10-mars-13;17:00;58;36;292;110;542;20;46
11-mars-13;3:00;4;20;10;11;428;19;43
11-mars-13;5:00;28;31;255;99;479;18;45
11-mars-13;6:00;90;39;370;142;569;19;45
11-mars-13;21:00;57;38;316;111;516;19;45
12-mars-13;12:00;28;51;177;59;545;17;42
12-mars-13;20:00;6;38;197;72;486;16;42
12-mars-13;22:00;4;36;100;34;465;16;40
13-mars-13;1:00;<2;26;13;9;424;16;38
13-mars-13;18:00;95;76;168;51;647;16;42
13-mars-13;19:00;72;65;285;91;606;17;43
13-mars-13;22:00;35;63;84;31;497;16;42
14-mars-13;3:00;8;45;51;17;436;16;42
14-mars-13;8:00;148;70;215;66;701;16;43
15-mars-13;0:00;ND;ND;ND;ND;ND;16;41
15-mars-13;2:00;ND;ND;632;36;486;16;40
15-mars-13;5:00;ND;ND;4144;47;500;16;41
15-mars-13;15:00;ND;ND;404;109;657;18;42
15-mars-13;19:00;ND;ND;319;80;619;17;41
15-mars-13;21:00;ND;ND;214;57;519;17;40
15-mars-13;22:00;ND;ND;177;47;505;17;40
16-mars-13;0:00;ND;ND;223;73;456;17;42
16-mars-13;1:00;ND;ND;63;19;441;17;41
16-mars-13;8:00;ND;ND;169;50;499;16;41
16-mars-13;9:00;ND;ND;138;34;510;16;40
16-mars-13;13:00;ND;ND;166;42;556;17;39
16-mars-13;17:00;ND;ND;154;53;639;18;42
16-mars-13;20:00;ND;ND;118;40;520;17;46
16-mars-13;21:00;ND;ND;123;41;502;17;46
16-mars-13;23:00;ND;ND;109;35;502;17;47
17-mars-13;0:00;ND;ND;113;41;466;17;47
17-mars-13;1:00;ND;ND;30;17;444;17;47
17-mars-13;5:00;ND;ND;292;100;450;17;48
17-mars-13;13:00;ND;ND;362;137;514;18;49
17-mars-13;14:00;ND;ND;692;228;511;18;49
17-mars-13;20:00;ND;ND;369;137;493;18;46
18-mars-13;9:00;ND;ND;570;212;613;18;46
18-mars-13;10:00;ND;ND;256;100;545;18;46
18-mars-13;15:00;ND;ND;607;218;634;18;47
18-mars-13;16:00;ND;ND;640;235;738;18;47
20-mars-13;3:00;ND;ND;75;39;444;18;48
20-mars-13;4:00;ND;ND;155;70;476;18;48
20-mars-13;5:00;ND;ND;259;107;488;18;48
20-mars-13;10:00;ND;ND;282;103;557;18;46
20-mars-13;14:00;ND;ND;342;170;634;19;46
20-mars-13;15:00;ND;ND;640;301;640;19;48
20-mars-13;19:00;ND;ND;357;128;709;19;46
21-mars-13;5:00;ND;ND;345;134;500;18;46
21-mars-13;12:00;ND;ND;327;133;607;19;46
21-mars-13;14:00;ND;ND;297;108;618;19;47
21-mars-13;16:00;ND;ND;466;178;762;20;47
21-mars-13;19:00;ND;ND;585;218;716;20;48
21-mars-13;23:00;ND;ND;295;105;486;19;47
22-mars-13;4:00;ND;ND;16;6;440;18;45
22-mars-13;7:00;ND;ND;675;252;774;19;47
22-mars-13;9:00;ND;ND;594;208;ND;19;45
22-mars-13;14:00;82;63;459;178;621;20;47
22-mars-13;17:00;124;85;271;89;827;21;46
22-mars-13;22:00;41;69;215;80;511;20;45
23-mars-13;2:00;28;53;19;16;425;19;45
23-mars-13;4:00;92;50;94;46;434;19;45
23-mars-13;22:00;53;50;302;116;511;20;46
21-juin-13;17:00;ND;ND;385;133;662;28;52
21-juin-13;22:00;ND;ND;212;66;478;27;54
21-juin-13;23:00;ND;ND;171;55;439;26;54
22-juin-13;0:00;ND;ND;86;27;430;26;54
22-juin-13;2:00;ND;ND;66;22;399;26;54
23-juin-13;4:00;ND;ND;57;21;403;25;49
23-juin-13;7:00;ND;ND;128;37;424;25;49
23-juin-13;10:00;ND;ND;116;36;438;25;49
23-juin-13;11:00;ND;ND;134;38;438;25;49
23-juin-13;17:00;ND;ND;106;34;473;26;52
23-juin-13;20:00;ND;ND;75;27;425;25;50
24-juin-13;11:00;ND;ND;114;37;499;25;47
24-juin-13;12:00;ND;ND;164;50;515;25;47
24-juin-13;20:00;ND;ND;116;42;455;25;45
24-juin-13;23:00;ND;ND;188;62;406;25;46
25-juin-13;2:00;ND;ND;<5;<5;387;24;46
25-juin-13;5:00;ND;ND;191;61;508;24;48
25-juin-13;12:00;ND;ND;194;105;510;25;45
25-juin-13;13:00;ND;ND;191;120;531;25;45
25-juin-13;20:00;ND;ND;163;63;460;25;45
26-juin-13;3:00;ND;ND;14;20;401;24;46
26-juin-13;5:00;ND;ND;142;51;517;24;47
26-juin-13;18:00;ND;ND;321;114;591;26;47
27-juin-13;0:00;ND;ND;57;30;383;25;48
27-juin-13;2:00;ND;ND;<5;13;384;25;47
27-juin-13;3:00;ND;ND;19;21;393;24;47
27-juin-13;5:00;ND;ND;104;46;500;24;49
27-juin-13;9:00;ND;ND;200;79;529;25;50
27-juin-13;10:00;ND;ND;157;66;533;25;49
27-juin-13;12:00;ND;ND;152;69;555;26;48
27-juin-13;14:00;ND;ND;268;100;616;26;48
27-juin-13;16:00;ND;ND;184;71;684;26;47
27-juin-13;22:00;ND;ND;124;53;444;25;48
